rules,support,confidence,lift
{36,8} => {,no,no,yes,yes,yes,yes,no},0.0166666666666667,1,6
{38,0} => {,no,yes,yes,no,yes,no,yes},0.0166666666666667,1,5.71428571428571
{36,0} => {,no,yes,no,no,no,no,no},0.0166666666666667,0.666666666666667,4
{40,9} => {,yes,yes,yes,yes,no,yes,yes},0.0166666666666667,0.666666666666667,8
{36,7} => {,no,yes,no,no,no,no,no},0.0166666666666667,0.666666666666667,4
{37,6} => {,no,no,yes,yes,no,yes,no},0.0166666666666667,0.666666666666667,8
{37,7} => {,no,no,yes,yes,no,yes,no},0.0166666666666667,0.5,6
{41,5} => {,no,yes,yes,no,yes,no,yes},0.0166666666666667,0.5,2.85714285714286
{36,6} => {,no,yes,no,no,no,no,no},0.0166666666666667,0.5,3
{36,6} => {,no,no,yes,yes,yes,yes,no},0.0166666666666667,0.5,3
{40,4} => {,yes,yes,yes,yes,no,yes,yes},0.0166666666666667,0.4,4.8
{37,9} => {,no,no,yes,yes,no,yes,no},0.0166666666666667,0.4,4.8
{37,0} => {,no,no,yes,yes,yes,yes,no},0.0333333333333333,0.5,3
